title,company,url
AI 영상 자동화 SaaS 플랫폼 풀스택 개발자 (MVP 중심),㈜와이디엠씨엔,https://www.jobkorea.co.kr/Recruit/GI_Read/48493778?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=79&sc=630
JH솔루션(주) 개발본부 프론트엔드 개발자 채용,㈜제이에이치솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48493142?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=80&sc=630
[대화형AI기업] LLM 엔지니어 (경력),㈜라피치,https://www.jobkorea.co.kr/Recruit/GI_Read/48413417?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=81&sc=630
JH솔루션(주) 개발본부 백엔드 개발자 채용,㈜제이에이치솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48493202?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=82&sc=630
AI 영상 자동화 SaaS 플랫폼 풀스택 개발자 (MVP 중심),야타,https://www.jobkorea.co.kr/Recruit/GI_Read/48493686?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=83&sc=630
[대화형AI기업] LLM 엔지니어 (전문연구요원 / 병역특례),㈜라피치,https://www.jobkorea.co.kr/Recruit/GI_Read/48413376?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=84&sc=630
로봇산업 생성형 AI LLM RAG R&D개발,㈜비전스페이스,https://www.jobkorea.co.kr/Recruit/GI_Read/48436522?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=85&sc=630
[카카오 계열사] AI 워크플로우 기획 (Agent Maker),㈜보이스루,https://www.jobkorea.co.kr/Recruit/GI_Read/48221545?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=86&sc=630
[경력] AI 서비스기획자 (컨설턴트),㈜리본홀딩스,https://www.jobkorea.co.kr/Recruit/GI_Read/48526288?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=87&sc=630
[아이브릭스] AI 웹 서비스 분야 경력 채용 공고,㈜아이브릭스,https://www.jobkorea.co.kr/Recruit/GI_Read/48486366?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=88&sc=630
"장소 방문 AI 비서 프론트엔드 개발자 모집 (주 8시간 내 파트타임, 재택)",같이가요,https://www.jobkorea.co.kr/Recruit/GI_Read/48478933?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=89&sc=630
(주)테라시스디앤씨와 함께 할 웹/SNS 제작물 디자인 직원을 모집합니다.,㈜테라시스디앤씨,https://www.jobkorea.co.kr/Recruit/GI_Read/48487113?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=90&sc=630
2026 GrowMarketing 마케팅.기획.전시/컨퍼런스.VIP이벤트.프로모션.연출,㈜그로우마케팅,https://www.jobkorea.co.kr/Recruit/GI_Read/48361226?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=91&sc=630
